StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID1,QID29,QID2,QID3,QID3_7_TEXT,QID4,QID5,QID6_1,QID6_2,QID6_3,QID7_1,QID7_2,QID7_3,QID8_1,QID8_2,QID8_3,QID11_1,QID11_2,QID11_3,QID11_4,QID11_5,QID11_6,QID13_1,QID13_2,QID13_3,QID13_4,QID13_5,QID13_6,QID13_7,QID13_8,QID13_9,QID13_10,QID13_11,QID26,QID28_1,QID28_2,QID28_3,QID28_4,QID28_5,QID27_1,QID27_2,QID27_3,QID14_1,QID14_2,QID14_3,QID14_4,QID14_5,QID14_6,QID14_7,QID14_8,QID16,QID17,QID18,QID19,QID20,QID21,QID22,QID23,QID24,QID25,QID25_1_TEXT
Data di inizio,Data di fine,Tipo risposta,Indirizzo IP,Avanzamento,Durata (in secondi),Terminato,Data registrata,ID di risposta,Cognome del destinatario,Nome del destinatario,E-mail del destinatario,Riferimento a dati esterni,Latitudine posizione,Longitudine posizione,Canale di distribuzione,Lingua dell'utente,"This study explores how software developers experience emotional strain in their work and how this may be reflected in everyday development behaviors.  Your participation is entirely voluntary and anonymous. You may stop the survey at any time without providing a reason. The study does not collect any personally identifiable information.  There are no right or wrong answers. We kindly ask you to respond honestly, based on your recent work experience.    Estimated completion time: 12–15 minutes.    By continuing, I confirm that:    • I am at least 18 years old  • I understand that my participation is voluntary and anonymous  • I agree to take part in this study",Your Prolific ID will only be used to verify completion and will not be linked to your personal identity. (Only if you come from Prolific),"In the last 6 months, have you actively contributed code to a software project using version control (e.g., Git)?",Which of the following best describes your current primary role?  Options: - Selected Choice,Which of the following best describes your current primary role?  Options: - Other (please specify) - Text,"In the last 4 weeks, how often have you committed code to a repository? Options:","Attention check To ensure data quality, please select ""Agree"" for this statement.",Emotional Exhaustion - I feel mentally exhausted by my software development work.,Emotional Exhaustion - I feel emotionally drained after working.,Emotional Exhaustion - I feel worn out at the end of the workday.,Cynicism / Detachment - I feel more detached from my work than I used to.,Cynicism / Detachment - I feel less emotionally involved in my project.,Cynicism / Detachment - I distance myself from work-related interactions.,Professional Inefficacy - I feel less effective in my development tasks.,Professional Inefficacy - Tasks that used to be easy now require much more effort.,Professional Inefficacy - I doubt the quality of my contributions.,Emotional Debt - I carry unresolved emotional strain from my work over time.,Emotional Debt - Emotional stress from previous work continues to affect me.,Emotional Debt - I keep working without addressing emotional difficulties related to work.,Emotional Debt - Accumulated frustration influences how I make work decisions.,Emotional Debt - Emotional strain does not disappear even when tasks are completed.,Emotional Debt - I feel emotionally “in debt” due to prolonged work pressure.,Emotional Smells - I worked late at night or during weekends repeatedly. (Persistent Off-Hours Activity),Emotional Smells - I made many small commits instead of fewer well-structured ones. (Workload Compression),Emotional Smells - I committed code very frequently within short time periods. (High-Frequency Commit Pattern),Emotional Smells - My commit messages expressed frustration or negativity. (Negative Commit Sentiment),"Emotional Smells - I wrote commit messages with little or no explanation (e.g., “fix”, “again”). (Self-Referential Commits)","Emotional Smells - I avoided commenting, reviewing, or participating in discussions. (Communication Withdrawal)",Emotional Smells - I worked on the same files or modules mostly alone. (Lone Contribution Pattern),Emotional Smells - I reworked the same code multiple times in a short period. (Repeated Rework),Emotional Smells - I reverted recent changes repeatedly. (Repeated Reverts),Emotional Smells - I applied fixes that did not fully solve the problem. (Non-Resolving Fixes),Emotional Smells - I used AI-generated code with minimal review or adaptation. (Uncritical AI Code Adoption),"Attention check To ensure data quality, please select ""Disagree"" for this statement.",Consequences - Emotional strain increases the likelihood of introducing bugs.,Consequences - Emotional fatigue reduces code maintainability.,Consequences - Burnout affects my ability to refactor effectively.,Consequences - Emotional stress negatively impacts long-term software quality.,"Consequences - Under emotional strain, I tend to postpone quality-related improvements.",Job Satisfaction - I feel energized by my work.,Job Satisfaction - I feel enthusiastic about my project.,Job Satisfaction - I feel absorbed in my development tasks.,Organizational Practices - My organization provides access to psychological support services.,Organizational Practices - Stress management or well-being training is available.,Organizational Practices - Workload is actively monitored and redistributed when needed.,Organizational Practices - Team-building activities are encouraged.,Organizational Practices - Retrospectives are used to discuss not only technical issues but also team well-being.,Organizational Practices - Tooling and automation reduce repetitive or stressful tasks.l emotionally “in debt” due to prolonged work pressure.,Organizational Practices - These practices help reduce emotional strain over time.,Organizational Practices - These practices improve team well-being and collaboration.,"If you wish, briefly describe any practice that helped you manage stress or emotional strain at work.","How often do you use AI tools (e.g., ChatGPT, Copilot) for coding tasks?","In your work context, AI tools are mainly:",Age,Gender,Years of experience in software development,Team setup,Number of time zones in your team,Which of the following best describes your current working arrangement?,Did you find any question unclear or difficult to answer? - Selected Choice,Did you find any question unclear or difficult to answer? - Yes - Text
"{""ImportId"":""startDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID29_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID3_7_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID13_4""}","{""ImportId"":""QID13_5""}","{""ImportId"":""QID13_6""}","{""ImportId"":""QID13_7""}","{""ImportId"":""QID13_8""}","{""ImportId"":""QID13_9""}","{""ImportId"":""QID13_10""}","{""ImportId"":""QID13_11""}","{""ImportId"":""QID26""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID28_3""}","{""ImportId"":""QID28_12""}","{""ImportId"":""QID28_13""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID27_3""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID14_4""}","{""ImportId"":""QID14_5""}","{""ImportId"":""QID14_6""}","{""ImportId"":""QID14_7""}","{""ImportId"":""QID14_8""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_1_TEXT""}"
2026-02-10 12:48:26,2026-02-10 12:54:49,0,185.81.127.223,100,382,1,2026-02-10 12:54:50,R_2rjhzgoBNkns9gS,,,,,45.4722,9.1922,anonymous,EN-GB,2,,2,2,,5,6,7,6,6,7,7,6,6,4,3,,7,2,5,6,7,3,5,5,2,5,5,5,4,4,4,5,2,7,7,7,7,7,,,,1,2,1,3,1,1,1,1,,5,2,2,1,4,3,1,5,2,
2026-02-10 20:41:28,2026-02-10 20:45:58,0,217.138.198.230,100,269,1,2026-02-10 20:45:59,R_6QBKCeqyOKP1xK1,,,,,40.7157,-74,anonymous,EN-GB,2,,2,4,,3,6,5,5,6,4,6,4,5,5,5,5,6,5,5,4,4,5,3,4,1,3,3,4,4,4,5,5,2,6,6,5,7,5,4,6,5,3,3,1,4,1,3,2,2,,4,2,1,1,2,2,1,4,2,
2026-02-10 21:12:39,2026-02-10 21:24:41,0,185.190.217.1,100,721,1,2026-02-10 21:24:42,R_2cm6gURYZ1tpP2x,,,,,41.72,13.6155,anonymous,EN-GB,2,,2,2,,5,6,2,3,2,2,2,2,2,2,2,3,2,2,3,2,2,3,2,3,1,2,3,3,2,2,3,2,2,6,6,6,6,7,6,6,6,4,4,3,6,4,5,4,4,,4,2,2,1,2,2,1,4,2,
2026-02-10 22:38:27,2026-02-10 22:47:46,0,213.55.243.14,100,558,1,2026-02-10 22:47:46,R_8ElN7gnKmqVyXFd,,,,,47.3952,8.4925,anonymous,EN-GB,2,,2,1,,5,6,2,1,4,5,3,1,1,1,1,1,3,2,1,1,2,1,5,5,1,1,1,3,2,2,1,1,2,6,6,6,6,6,5,7,5,7,7,6,4,1,5,,,,2,4,3,1,3,1,4,2,1,"Il testo di una domanda conteneva l' ""incolla"" di una domanda precedente. Per le due domande a cui non ho risposto non mi è chiaro in che maniera avrei dovuto farlo."
2026-02-11 08:38:23,2026-02-11 08:46:02,0,151.53.152.42,100,459,1,2026-02-11 08:46:02,R_2SH2m99bIqBl1sZ,,,,,40.8449,14.2716,anonymous,EN-GB,2,,2,1,,4,6,4,4,5,3,4,3,3,2,2,4,3,2,3,2,4,3,2,3,1,1,2,2,3,2,2,1,2,6,6,6,5,6,5,4,4,5,4,6,7,6,5,5,6,,4,4,2,1,3,1,1,4,2,
2026-02-11 09:10:50,2026-02-11 09:18:38,0,146.241.158.21,100,468,1,2026-02-11 09:18:39,R_2D2jJuulOd8ppa1,,,,,45.4722,9.1922,anonymous,EN-GB,2,,2,2,,5,6,5,5,5,6,7,6,6,4,6,7,3,5,5,5,4,2,3,2,1,3,3,3,3,2,3,3,2,6,6,6,6,6,1,1,2,1,1,2,4,1,2,2,2,,4,2,2,1,2,3,1,5,2,
2026-02-11 09:15:22,2026-02-11 09:28:13,0,93.39.132.244,100,771,1,2026-02-11 09:28:14,R_2VOo3nx6Z6Sm8X5,,,,,39.2302,9.121,anonymous,EN-GB,2,,2,6,,4,6,7,5,7,6,5,3,4,5,3,6,6,3,2,6,6,2,5,3,1,4,2,4,3,2,3,3,2,6,6,6,6,5,4,5,6,3,2,4,5,6,7,6,6,Talking with collegues of experience outside work. Explaining how I feel and the frustration in some tasks with senior collegues helps me a lot facing work stress.,5,4,3,1,4,3,3,5,2,
2026-02-11 09:28:55,2026-02-11 09:37:05,0,87.4.168.178,100,490,1,2026-02-11 09:37:06,R_2LopMBJxmM1Lg7B,,,,,45.0729,7.689,anonymous,EN-GB,2,,2,2,,5,6,6,5,7,3,3,2,6,3,4,4,3,4,4,6,5,2,5,5,1,1,2,3,3,2,4,1,2,7,5,6,6,6,3,5,4,4,3,6,5,3,3,4,4,,3,3,2,1,1,3,1,5,2,
